AttributeColumn,Match,Analyte,StdUnits
Ti_AQR64_pct,Start_sep,Ti,PPM
Ti_AQRICP_%_0_0_01,Start_sep,Ti,PPM
Ti_AR-ICPMS,Start_sep,Ti,PPM
Ti_AR01_OE_ppm,Start_sep,Ti,PPM
Ti_AR10/OE_ppm,Start_sep,Ti,PPM
Ti_AR1010_pct,Start_sep,Ti,PPM
Ti_AR101_ppm,Start_sep,Ti,PPM
Ti_AR10OES_pct,Start_sep,Ti,PPM
Ti_AR10OE_ppm,Start_sep,Ti,PPM
Ti_AR10_OE,Start_sep,Ti,PPM
Ti_AR10_OES_pct,Start_sep,Ti,PPM
Ti_AR10_OE_ppm,Start_sep,Ti,PPM
Ti_AR25/OE_C,Start_sep,Ti,PPM
Ti_AR25/OE_F,Start_sep,Ti,PPM
Ti_AR25/OE_K,Start_sep,Ti,PPM
Ti_AR25/OE_ppm,Start_sep,Ti,PPM
Ti_AR25/OE_ppm_0,Start_sep,Ti,PPM
Ti_AR25MS_ppm_5,Start_sep,Ti,PPM
Ti_AR25OE_ppm,Start_sep,Ti,PPM
Ti_AR25_OE,Start_sep,Ti,PPM
Ti_AR25_OES_ppm,Start_sep,Ti,PPM
Ti_AR25_OE_1,Start_sep,Ti,PPM
Ti_AR25_ppm,Start_sep,Ti,PPM
Ti_AR40_ICPMS_ppm,Start_sep,Ti,PPM
Ti_ARI155_ppm,Start_sep,Ti,PPM
Ti_ARU25OE_ppm,Start_sep,Ti,PPM
Ti_AR_OES_,Start_sep,Ti,PPM
Ti_AR_OES_ppm,Start_sep,Ti,PPM
Ti_AR_OES_ppm_1,Start_sep,Ti,PPM
Ti_AR_pc,Start_sep,Ti,PPM
Ti_AT/OES_ppm,Start_sep,Ti,PPM
Ti_ATOES_pct,Start_sep,Ti,PPM
Ti_ATOES_ppm,Start_sep,Ti,PPM
Ti_A_OES_0,Start_sep,Ti,PPM
Ti_B25/OES_%_0_0_005,Start_sep,Ti,PPM
Ti_B25OES_ppm,Start_sep,Ti,PPM
Ti_BVegOES_ppm,Start_sep,Ti,PPM
Ti_COES_ppm,Start_sep,Ti,PPM
Ti_DL,Start_sep,Ti,PPM
Ti_DLUnits,Start_sep,Ti,PPM
Ti_DOES_pct,Start_sep,Ti,PPM
Ti_DXOES_pct,Start_sep,Ti,PPM
Ti_Errror,Confidence,NULL,NULL
Ti_FP6OE_pct,Start_sep,Ti,PPM
Ti_FSOES105_pct,Start_sep,Ti,PPM
Ti_FSOES105_ppm,Start_sep,Ti,PPM
Ti_GF_XRF_ppm,Start_sep,Ti,PPM
Ti_HFICP_ppm,Start_sep,Ti,PPM
Ti_HHXRF_ppm,Start_sep,Ti,PPM
Ti_HHXppm,Start_sep,Ti,PPM
Ti_HXRF_ppm,Start_sep,Ti,PPM
Ti_IC3E,Start_sep,Ti,PPM
Ti_IC3E_ppm,Start_sep,Ti,PPM
Ti_IC3E_ppm_0,Start_sep,Ti,PPM
Ti_ICP,Start_sep,Ti,PPM
Ti_ICP102_ICPOES_ppm,Start_sep,Ti,PPM
Ti_ICP102_pct,Start_sep,Ti,PPM
Ti_ICP102_ppm,Start_sep,Ti,PPM
Ti_ICP102_ppm_0,Start_sep,Ti,PPM
Ti_ICP104_pct,Start_sep,Ti,PPM
Ti_ICP12S_ppm,Start_sep,Ti,PPM
Ti_ICP40Q,Start_sep,Ti,PPM
Ti_ICP40Q_,Start_sep,Ti,PPM
Ti_ICP40Q_PPM,Start_sep,Ti,PPM
Ti_ICP40Q_ppm,Start_sep,Ti,PPM
Ti_ICP90Q_,Start_sep,Ti,PPM
Ti_ICP90Q__,Start_sep,Ti,PPM
Ti_ICPMS_ppm,Start_sep,Ti,PPM
Ti_ICPMS_ppm_DSC,Start_sep,Ti,PPM
Ti_ICPOES_pct,Start_sep,Ti,PPM
Ti_ICPOES_ppm,Start_sep,Ti,PPM
Ti_ICP_%,Start_sep,Ti,PPM
Ti_ICP_pc,Start_sep,Ti,PPM
Ti_ICP_pct,Start_sep,Ti,PPM
Ti_ICP_ppm,Start_sep,Ti,PPM
Ti_KAL,Start_sep,Ti,PPM
Ti_KAL1,Start_sep,Ti,PPM
Ti_KAL2,Start_sep,Ti,PPM
Ti_LA,Start_sep,Ti,PPM
Ti_LA101_ppm,Start_sep,Ti,PPM
Ti_LowerLimit,Confidence,NULL,NULL
Ti_MA-ICPMS-AES_ppm,Start_sep,Ti,PPM
Ti_MA-ICPOES_PPM,Start_sep,Ti,PPM
Ti_MA101_ppm,Start_sep,Ti,PPM
Ti_MA4031_pct,Start_sep,Ti,PPM
Ti_MA40OES_pct,Start_sep,Ti,PPM
Ti_MA40_OE,Start_sep,Ti,PPM
Ti_MA40_OES_pct,Start_sep,Ti,PPM
Ti_MAR01M_ppm,Start_sep,Ti,PPM
Ti_MA_PPM,Start_sep,Ti,PPM
Ti_MDL_pct,Start_sep,Ti,PPM
Ti_ME-ICP61_pct,Start_sep,Ti,PPM
Ti_ME-MS41,Start_sep,Ti,PPM
Ti_ME-MS41_ppm,Start_sep,Ti,PPM
Ti_ME-MS61,Start_sep,Ti,PPM
Ti_ME-MS61_%,Start_sep,Ti,PPM
